raw_string,normalized_string,source,molecule_id
ocid,ocid,manual,MOL006
glyciphage,glyciphage,manual,MOL002
obimet,obimet,manual,MOL002
carbophage,carbophage,manual,MOL002
clopilet,clopilet,manual,MOL008
deplatt,deplatt,manual,MOL008
warf,warf,manual,MOL004
uniwarfin,uniwarfin,manual,MOL004
storvas,storvas,manual,MOL003
lipvas,lipvas,manual,MOL003
amlopres,amlopres,manual,MOL009
stamlo,stamlo,manual,MOL009
amoxil,amoxil,manual,MOL001
asthalin,asthalin,manual,MOL012
ventolin,ventolin,manual,MOL012
thyrox,thyrox,manual,MOL013
omnacortil,omnacortil,manual,MOL010
