drug,degree,top_file,anchor_concentration,n_files
dexamethasone,886,A,1.0,8
warfarin,842,B,1.0,8
tacrolimus,837,D,1.0,8
promethazine,812,D,1.0,8
cyclosporine,798,L,1.0,8
clarithromycin,791,A,1.0,8
prednisone,782,A,1.0,8
thalidomide,766,L,1.0,8
fluconazole,764,D,1.0,8
methotrexate,760,L,1.0,8
prednisolone,731,A,1.0,8
doxepin,729,D,1.0,8
erythromycin,728,D,1.0,8
salbutamol,727,R,1.0,8
morphine,722,A,1.0,8
ozanimod,705,L,1.0,8
hydrocortisone,703,D,1.0,8
simvastatin,692,A,1.0,8
triamcinolone,674,A,1.0,8
idelalisib,672,L,1.0,8
ibuprofen,669,R,1.0,8
omeprazole,664,A,1.0,8
methylprednisolone,663,D,1.0,8
leflunomide,662,L,1.0,8
doxorubicin,661,L,1.0,8
dasatinib,661,L,1.0,8
metoclopramide,658,A,1.0,8
bupropion,657,A,1.0,8
imatinib,652,L,1.0,8
levothyroxine,643,H,1.0,8
ondansetron,639,A,1.0,8
celecoxib,635,L,1.0,8
acetylsalicylic acid,633,A,1.0,8
famotidine,632,A,1.0,8
diclofenac,631,D,1.0,8
ketoconazole,630,D,1.0,8
metformin,622,A,1.0,8
sirolimus,619,L,1.0,8
nilotinib,618,L,1.0,8
oxaliplatin,617,L,1.0,8
metronidazole,614,A,1.0,8
lansoprazole,611,A,1.0,8
clopidogrel,607,B,1.0,8
hydroxychloroquine,604,P,1.0,8
heparin,604,B,1.0,8
glyburide,603,A,1.0,8
sodium,598,A,0.6839,8
ceritinib,593,L,1.0,8
pantoprazole,591,A,1.0,8
ranitidine,590,A,1.0,8
budesonide,586,A,1.0,8
glipizide,586,A,1.0,8
loperamide,584,A,1.0,8
pioglitazone,582,A,1.0,8
salmeterol,574,R,1.0,8
glimepiride,573,A,1.0,8
rucaparib,572,L,1.0,8
potassium,569,A,0.9965,8
ribociclib,567,L,1.0,8
cetirizine,564,R,1.0,8
repaglinide,562,A,1.0,8
docetaxel,561,L,1.0,8
enzalutamide,560,L,1.0,8
siponimod,559,L,1.0,8
rosiglitazone,553,A,1.0,8
crizotinib,552,L,1.0,8
lidocaine,551,D,1.0,8
alimemazine,549,R,1.0,8
sibutramine,549,A,1.0,8
paclitaxel,547,L,1.0,8
teriflunomide,546,L,1.0,8
tamoxifen,539,L,1.0,8
lapatinib,536,L,1.0,8
cimetidine,536,A,1.0,8
lactulose,526,A,1.0,8
vemurafenib,525,L,1.0,8
apalutamide,521,L,1.0,8
hydrocodone,520,R,1.0,8
rosuvastatin,519,A,1.0,8
temsirolimus,515,L,1.0,8
fluticasone,510,D,1.0,8
bortezomib,509,L,1.0,8
cisplatin,508,L,1.0,8
panobinostat,506,L,1.0,8
deferasirox,505,V,1.0,8
pazopanib,501,L,1.0,8
vincristine,500,L,1.0,8
nateglinide,498,A,1.0,8
etoposide,488,L,1.0,8
midostaurin,488,L,1.0,8
sorafenib,488,L,1.0,8
brigatinib,487,L,1.0,8
fingolimod,486,L,1.0,8
epirubicin,481,L,1.0,8
carboplatin,480,L,1.0,8
brimonidine,480,D,1.0,8
rabeprazole,480,A,1.0,8
bexarotene,478,L,1.0,8
cyclophosphamide,472,L,1.0,8
fexofenadine,470,R,1.0,8
montelukast,468,R,1.0,8
chloramphenicol,464,D,1.0,8
clotrimazole,463,A,1.0,8
osimertinib,462,L,1.0,8
ethanol,460,D,1.0,7
ifosfamide,460,L,1.0,8
entrectinib,459,L,1.0,8
vinorelbine,458,L,1.0,8
aprepitant,455,A,1.0,8
granisetron,454,A,1.0,8
acyclovir,454,D,1.0,8
clofarabine,452,L,1.0,8
loratadine,451,R,1.0,8
brentuximab vedotin,450,L,1.0,8
lorlatinib,449,L,1.0,8
vancomycin,449,A,1.0,8
dolasetron,448,A,1.0,8
picosulfuric acid,448,A,1.0,8
cabozantinib,446,L,1.0,8
chloroquine,446,P,1.0,8
codeine,445,R,1.0,8
doxycycline,443,A,1.0,8
trabectedin,443,L,1.0,8
encorafenib,441,L,1.0,8
aldesleukin,439,L,1.0,8
tofacitinib,437,L,1.0,8
formoterol,437,R,1.0,8
azathioprine,436,L,1.0,8
ponatinib,434,L,1.0,8
fedratinib,434,L,1.0,8
olaparib,433,L,1.0,8
fostamatinib,432,B,1.0,8
irinotecan,431,L,1.0,8
tolbutamide,431,A,1.0,8
folic acid,430,B,1.0,8
betamethasone,428,A,1.0,7
fludrocortisone,426,H,1.0,7
gilteritinib,426,L,1.0,8
tiotropium,421,R,1.0,8
chlorpropamide,421,A,1.0,8
dicoumarol,420,B,1.0,8
larotrectinib,416,L,1.0,8
indacaterol,415,R,1.0,8
omacetaxine mepesuccinate,415,L,1.0,8
procarbazine,413,L,1.0,7
ticagrelor,409,B,1.0,8
cilostazol,408,B,1.0,8
pirbuterol,407,R,1.0,8
cobicistat,407,V,1.0,8
bosutinib,406,L,1.0,8
troglitazone,405,A,1.0,8
sucralfate,405,A,1.0,8
osilodrostat,405,H,1.0,8
levofloxacin,404,A,1.0,8
clozapine,403,L,0.4268,8
ivosidenib,402,L,1.0,8
dabrafenib,399,L,1.0,8
quinine,397,P,1.0,8
ethinylestradiol,397,L,1.0,8
citalopram,397,L,0.2796,8
palonosetron,392,A,1.0,8
tolazamide,391,A,1.0,8
methdilazine,391,R,1.0,8
somatotropin,388,H,1.0,8
sulfasalazine,387,A,1.0,8
thiethylperazine,387,R,1.0,8
sunitinib,386,L,1.0,8
glasdegib,384,L,1.0,8
ciprofloxacin,384,L,0.3854,8
diphenhydramine,384,D,1.0,6
daunorubicin,383,L,1.0,8
olopatadine,383,R,1.0,8
asparaginase escherichia coli,381,L,1.0,8
polyethylene glycol,381,A,1.0,8
sertraline,381,A,0.2861,8
bicalutamide,380,L,1.0,8
deflazacort,380,H,1.0,7
idarubicin,379,L,1.0,8
terbutaline,379,R,1.0,8
dapsone,379,D,1.0,8
tioguanine,377,L,1.0,8
epinephrine,376,A,1.0,8
magnesium,375,A,1.0,8
abiraterone,374,L,1.0,8
mepyramine,373,D,1.0,6
romidepsin,371,L,1.0,8
ivacaftor,368,R,1.0,8
carbamazepine,368,L,0.4103,8
somatrem,368,H,1.0,8
zafirlukast,368,R,1.0,8
eribulin,367,L,1.0,8
mefloquine,366,P,1.0,8
opium,366,A,1.0,8
phenytoin,366,L,0.3798,8
everolimus,366,L,1.0,8
pegaspargase,365,L,1.0,8
anagrelide,365,L,1.0,8
pentoxifylline,364,R,1.0,8
vinblastine,364,L,1.0,8
atropine,364,A,1.0,8
vilanterol,363,R,1.0,8
fludarabine,361,L,1.0,8
theophylline,361,R,1.0,8
cytarabine,361,L,1.0,8
venlafaxine,360,L,0.2889,8
goserelin,359,L,1.0,8
magnesium hydroxide,358,A,1.0,8
miconazole,358,A,1.0,8
acarbose,357,A,1.0,8
insulin human,357,A,1.0,8
calcitriol,356,A,1.0,8
infliximab,354,L,1.0,8
dronabinol,354,A,1.0,8
fluorouracil,354,L,1.0,8
pemetrexed,352,L,1.0,8
ofloxacin,351,A,0.3476,8
orciprenaline,349,R,1.0,8
empagliflozin,348,A,1.0,8
mitoxantrone,348,L,1.0,8
nystatin,347,A,1.0,8
toremifene,346,L,1.0,8
gefitinib,345,L,1.0,8
flurbiprofen,344,R,1.0,7
pasireotide,344,H,1.0,8
prochlorperazine,344,A,0.3663,8
upadacitinib,343,L,1.0,8
certolizumab pegol,342,L,1.0,8
adalimumab,341,L,1.0,8
acetohexamide,341,A,1.0,8
golimumab,340,L,1.0,8
isoprenaline,340,R,1.0,8
etanercept,340,L,1.0,8
chlorpheniramine,339,R,1.0,7
lenalidomide,339,L,1.0,8
amiodarone,338,L,0.4586,8
epoprostenol,338,B,1.0,8
calcium,338,A,1.0,8
fluoxetine,338,A,0.284,8
niraparib,338,L,1.0,8
diltiazem,337,L,0.3591,8
saxagliptin,337,A,1.0,8
acalabrutinib,336,L,1.0,7
iloprost,336,B,1.0,8
insulin aspart,334,A,1.0,8
insulin detemir,333,A,1.0,8
insulin lispro,333,A,1.0,8
insulin glulisine,333,A,1.0,8
cladribine,333,L,1.0,8
dicyclomine,332,A,1.0,8
quetiapine,332,A,0.3675,8
insulin glargine,332,A,1.0,8
amphotericin b,331,A,1.0,8
insulin degludec,331,A,1.0,8
gemcitabine,330,L,1.0,8
risperidone,328,A,0.3689,8
ibrutinib,328,L,1.0,8
capecitabine,328,L,1.0,8
naltrexone,327,A,1.0,8
canagliflozin,326,A,1.0,8
arsenic trioxide,325,L,1.0,8
iopamidol,325,V,1.0,8
ruxolitinib,323,L,1.0,7
nabilone,323,A,1.0,5
pentamidine,322,P,1.0,8
ustekinumab,321,L,1.0,8
fentanyl,320,L,0.3187,8
efavirenz,320,L,0.4844,8
clindamycin,320,D,1.0,8
finasteride,320,D,1.0,8
tretinoin,319,D,1.0,8
metoprolol,318,A,0.3491,8
dapagliflozin,318,A,1.0,8
macimorelin,315,V,1.0,8
apixaban,314,B,1.0,8
temozolomide,314,L,1.0,8
paroxetine,314,A,0.3121,8
iohexol,313,V,1.0,8
oxycodone,313,L,0.3227,8
ertugliflozin,313,A,1.0,8
cyanocobalamin,312,B,1.0,8
treprostinil,312,B,1.0,8
tramadol,312,A,0.3205,8
ritonavir,312,L,0.359,8
mirtazapine,311,L,0.3248,8
inotuzumab ozogamicin,310,L,1.0,8
dipyridamole,309,B,1.0,7
olanzapine,308,A,0.3604,8
olodaterol,307,R,1.0,8
quinidine,307,L,0.3713,8
moxifloxacin,307,L,0.3941,8
carvedilol,305,A,0.3443,8
duloxetine,305,A,0.2918,8
elagolix,304,H,1.0,8
furosemide,304,A,0.3947,8
terbinafine,303,D,1.0,8
rivaroxaban,303,B,1.0,8
verapamil,302,L,0.3675,8
orlistat,302,A,1.0,8
exenatide,301,A,1.0,8
hydroxyurea,301,L,1.0,8
baricitinib,301,L,1.0,8
dextromethorphan,301,R,1.0,8
clomipramine,300,L,0.2867,8
palbociclib,299,L,1.0,7
atorvastatin,297,L,0.4377,8
nifedipine,296,L,0.3885,8
rilonacept,296,L,1.0,8
cisapride,296,A,1.0,8
alefacept,295,L,1.0,8
voriconazole,295,L,0.4441,8
anakinra,295,L,1.0,8
naproxen,295,A,0.3085,8
cyproheptadine,294,R,1.0,6
canakinumab,293,L,1.0,8
venetoclax,292,L,1.0,8
aripiprazole,292,A,0.3664,8
minoxidil,292,D,1.0,8
leucovorin,291,V,1.0,8
liothyronine,291,H,1.0,8
erlotinib,291,L,1.0,8
lisinopril,290,A,0.3621,8
mercaptopurine,290,L,1.0,8
fenfluramine,289,A,1.0,8
digoxin,289,A,0.3668,8
fosphenytoin,289,L,0.4325,8
hydrochlorothiazide,289,A,0.4394,8
telithromycin,288,L,0.4375,8
mycophenolic acid,288,L,1.0,8
vandetanib,288,L,1.0,8
topotecan,287,L,1.0,8
propranolol,287,A,0.3763,8
saquinavir,287,L,0.4111,8
clemastine,287,D,1.0,6
fluphenazine,286,A,0.3776,8
diazepam,286,A,0.3007,8
carbinoxamine,286,R,1.0,6
dexbrompheniramine,285,R,1.0,6
mesalazine,285,A,1.0,8
terfenadine,285,R,1.0,8
scopolamine,284,A,1.0,8
gatifloxacin,284,L,0.3768,8
hydroxyzine,284,A,0.3134,8
brompheniramine,282,R,1.0,6
doxylamine,282,R,1.0,6
mitotane,282,L,1.0,8
amlodipine,282,L,0.344,8
amitriptyline,281,A,0.2954,8
interferon beta- b,281,L,1.0,8
triprolidine,281,R,1.0,6
interferon beta- a,281,L,1.0,8
alemtuzumab,281,L,1.0,8
linagliptin,280,A,1.0,8
gentamicin,280,D,1.0,8
eliglustat,280,A,1.0,8
chlorpromazine,279,A,0.3907,8
tetracycline,279,A,1.0,8
nortriptyline,278,A,0.3201,8
haloperidol,278,A,0.2878,8
ziprasidone,277,A,0.3827,8
ticlopidine,276,B,1.0,8
flutamide,276,L,1.0,8
itraconazole,275,L,0.4327,8
atenolol,274,A,0.365,8
peginterferon beta- a,274,L,1.0,8
imipramine,273,A,0.3077,8
aminophylline,272,R,1.0,8
cabazitaxel,271,L,1.0,8
ixabepilone,271,L,1.0,8
astemizole,270,R,1.0,8
norfloxacin,270,L,0.4074,8
ursodeoxycholic acid,270,A,1.0,8
amoxicillin,270,A,1.0,8
primaquine,269,P,1.0,8
clonazepam,269,L,0.2974,8
acetaminophen,268,A,0.3134,8
alpelisib,268,L,1.0,8
zolpidem,267,A,0.2921,8
halofantrine,267,P,1.0,8
ocrelizumab,266,L,1.0,8
primidone,266,L,0.4211,8
sotalol,265,A,0.3509,8
fluvoxamine,265,L,0.2868,8
ramipril,264,A,0.3561,8
alprazolam,264,L,0.3144,8
desloratadine,264,R,1.0,8
nizatidine,263,A,1.0,8
nefazodone,263,L,0.384,8
grepafloxacin,263,L,0.4791,8
roflumilast,263,R,1.0,8
meloxicam,262,A,0.2939,8
phenobarbital,261,L,0.4444,8
methadone,260,L,0.3654,8
cobimetinib,260,L,1.0,8
spironolactone,260,A,0.3462,8
azelastine,260,R,1.0,7
enalapril,260,A,0.3731,8
natalizumab,259,L,1.0,8
octreotide,259,H,1.0,8
escitalopram,259,L,0.2857,8
tetracosactide,258,H,1.0,7
lorazepam,258,A,0.3178,8
perphenazine,257,A,0.4008,8
dimethyl,256,L,1.0,7
buprenorphine,256,L,0.3633,8
lenvatinib,255,L,1.0,8
atazanavir,255,L,0.349,8
letrozole,254,L,1.0,8
tripelennamine,254,D,1.0,6
corticotropin,253,H,1.0,7
thioridazine,253,A,0.3874,8
linezolid,252,L,0.3056,8
mifepristone,252,L,0.4206,8
posaconazole,251,L,0.498,8
donepezil,251,L,0.3187,8
triptorelin,250,L,1.0,8
pomalidomide,250,L,1.0,8
trazodone,249,L,0.3052,8
histrelin,249,L,1.0,8
leuprolide,249,L,1.0,8
pexidartinib,247,L,0.5425,8
acetylcysteine,247,R,1.0,8
gemifloxacin,246,L,0.4309,8
rifampicin,246,L,0.4228,8
mannitol,245,A,1.0,8
dexfenfluramine,245,A,1.0,8
sitagliptin,245,A,1.0,8
oxytocin,244,H,1.0,8
azatadine,244,R,1.0,6
valproic acid,243,A,0.3292,8
meclizine,243,R,1.0,6
minocycline,243,A,1.0,8
lefamulin,243,L,0.4527,8
trifluoperazine,242,A,0.3843,8
lovastatin,242,L,0.4587,8
modafinil,241,L,0.3942,8
tizanidine,241,L,0.3154,8
dronedarone,240,L,0.5125,8
rofecoxib,240,A,0.3333,8
oxcarbazepine,240,L,0.35,8
phentermine,239,A,1.0,8
sevelamer,239,V,1.0,8
disopyramide,239,L,0.3515,8
valsartan,239,A,0.3556,8
mesoridazine,238,A,0.3908,8
indomethacin,238,A,0.3319,8
cinacalcet,238,H,1.0,7
betrixaban,237,B,1.0,8
losartan,237,A,0.3629,8
selpercatinib,237,L,0.4684,8
levocetirizine,237,R,1.0,6
felodipine,237,L,0.3376,8
oliceridine,236,L,0.3856,8
tegaserod,236,A,1.0,8
timolol,236,A,0.3729,8
torasemide,235,A,0.434,8
bosentan,235,L,0.4128,8
pravastatin,235,L,0.4,8
nilutamide,233,L,1.0,8
cyclizine,232,R,1.0,6
carmustine,232,L,1.0,8
lithium,232,A,0.3147,8
pramlintide,232,A,1.0,8
papaverine,231,A,1.0,8
pentoxyverine,230,R,1.0,5
isoniazid,230,L,0.4174,8
nelfinavir,230,L,0.3957,8
lumefantrine,230,P,1.0,8
chlorphenesin,228,D,1.0,5
captopril,228,A,0.3904,8
cyclobenzaprine,228,A,0.3465,8
griseofulvin,227,D,1.0,8
quinapril,227,A,0.3877,8
paricalcitol,227,H,1.0,8
dacarbazine,227,L,1.0,7
azithromycin,227,L,0.3568,8
zidovudine,226,L,0.6681,8
teniposide,226,L,1.0,8
ranolazine,226,L,0.4336,8
deferiprone,226,V,1.0,8
efalizumab,225,L,1.0,8
metolazone,225,A,0.4978,8
tolterodine,224,A,0.3348,8
tocilizumab,224,L,1.0,7
alogliptin,224,A,1.0,8
edoxaban,224,B,1.0,8
