product_id,generic_name_raw,unit_size_raw,mrp,components_recovered,n_dose_tokens,residue_reason
PMBJP-142,Soluble Insulin Injection IP 40 IU per ml (R-DNA Origin),10 ml Vial,781.00,soluble insulin,1,insulin preparation - strength and mix ratio not decomposable by name
PMBJP-143,Insulin Injection IP 40 IU per ml (Insulin Human Soluble 30% and Isophane 70%),10 ml Vial,90.00,insulin insulin human soluble|isophane,3,insulin preparation - strength and mix ratio not decomposable by name
PMBJP-230,Vitamin B-Complex fort Zinc Capsule,10's,99.00,vitamin b-complex fort zinc,0,opaque blend / trivial name carries no component molecule names
PMBJP-231,"Vitamin B-Complex Tablets (B1 10mg, B2 10mg, B3 45mg, B5 50mg, B6 3mg, B12 15mcg)",10's,16.00,vitamin b-complex,5,opaque blend / trivial name carries no component molecule names
PMBJP-232,Vitamin B-Complex Syrup,200 ml,42.00,vitamin b-complex,0,opaque blend / trivial name carries no component molecule names
PMBJP-362,Biphasic Isophane Insulin Injection IP (50:50) 40 IU per ml,10 ML VIAL,88.00,biphasic isophane insulin,1,insulin preparation - strength and mix ratio not decomposable by name
PMBJP-363,Insulin Glargine Injection IP 100 IU per ml,Cartridge 3 ml,340.00,insulin glargine,1,insulin preparation - strength and mix ratio not decomposable by name
PMBJP-580,"Ginseng, Multivitamins and multiminerals Capsules",10's,33.00,ginseng multivitamins|multiminerals,0,opaque blend / trivial name carries no component molecule names
PMBJP-582,"Vitamins A,C,D,E,And B Complex and Minerals Syrup",200 ML,47.00,vitamins a c d e b complex|minerals,0,opaque blend / trivial name carries no component molecule names
PMBJP-590,"Multivitamins with Amino acid & Inositol injection (Hydroxocobalamin 1000mcg, VitaminB6 (Pyridoxine) 1.5mg, Folic Acid 15mg, Nicotinamide 50mg, Inositol 10mg, L-Lysine 150mg)",5ml Vial,0.00,multivitamins amino acid|inositol hydroxocobalamin vitaminb folic acid nicotinamide inositol l-lysine,6,opaque blend / trivial name carries no component molecule names
PMBJP-592,"L-Lysine + Multivitamins (Vit-B1,B2,B3,B5,B6 ) Syrup",200 ML,52.00,l-lysine|multivitamins,0,opaque blend / trivial name carries no component molecule names
PMBJP-656,Diastase and Pepsin Enzyme Drops,15 ml,18.00,diastase|pepsin enzyme,0,opaque blend / trivial name carries no component molecule names
PMBJP-664,"Mouth Ulcer Gel (Choline Salicylate Sodium 9% W/V, Benzalkonium Chloride 0.01% W/W)",10 gm,15.00,,2,no component normalized to a molecule
PMBJP-665,Vitamin B Complex and Ascorbic Acid Capsules,10's,17.00,vitamin b complex|ascorbic acid,0,opaque blend / trivial name carries no component molecule names
PMBJP-668,Multivitamin Drops,15 ml,18.00,multivitamin,0,opaque blend / trivial name carries no component molecule names
