raw_string,normalized_string,source,origin_rule,in_pmbjp,in_ddinter,notes
chlorthalidon,chlorthalidone,pmbjp,benign_spelling_variant,True,True,orthographic variant only (same molecule under British/Indian vs USAN spelling)
coenzyme q,co-enzyme q,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
cyanocobalamine,cyanocobalamin,pmbjp,benign_spelling_variant,True,True,orthographic variant only (same molecule under British/Indian vs USAN spelling)
cyclosporin,cyclosporine,pmbjp,benign_spelling_variant,True,True,orthographic variant only (same molecule under British/Indian vs USAN spelling)
di-cloxacillin,dicloxacillin,pmbjp,benign_spelling_variant,True,True,orthographic variant only (same molecule under British/Indian vs USAN spelling)
dil oil,dill oil,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
dosulepin,dosulepine,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
duloxetin,duloxetine,pmbjp,benign_spelling_variant,True,True,orthographic variant only (same molecule under British/Indian vs USAN spelling)
etophyllin,etophylline,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
flupentixol,flupentixole,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
guaifenesin,guaiphenesin,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
isosorbidemononitrate,isosorbide mononitrate,pmbjp,benign_spelling_variant,True,True,orthographic variant only (same molecule under British/Indian vs USAN spelling)
l-carnitine l-tartrate,l-carnitine-l-tartrate,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
l-methylfolate,l-methyl folate,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
levo salbutamol,levosalbutamol,pmbjp,benign_spelling_variant,True,True,orthographic variant only (same molecule under British/Indian vs USAN spelling)
levo-thyroxine,levothyroxine,pmbjp,benign_spelling_variant,True,True,orthographic variant only (same molecule under British/Indian vs USAN spelling)
multiminerals,multi minerals,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
nimesulid,nimesulide,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
nortryptyline,nortriptyline,pmbjp,benign_spelling_variant,True,True,orthographic variant only (same molecule under British/Indian vs USAN spelling)
omega fatty acid,omega- fatty acid,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
paroxetin,paroxetine,pmbjp,benign_spelling_variant,True,True,orthographic variant only (same molecule under British/Indian vs USAN spelling)
povidone iodine,povidone- iodine,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
povidone iodine,povidone-iodine,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
povidone-iodine,povidone- iodine,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
selenium sulphide,selenium sulfide,pmbjp,benign_spelling_variant,True,True,orthographic variant only (same molecule under British/Indian vs USAN spelling)
trihexiphenidyl,trihexyphenidyl,pmbjp,benign_spelling_variant,True,True,orthographic variant only (same molecule under British/Indian vs USAN spelling)
vitamin b complex,vitamin b-complex,pmbjp,benign_spelling_variant,True,False,orthographic variant only (same molecule under British/Indian vs USAN spelling)
5-aminosalicylic acid,mesalazine,manual,india_naming_seed,True,True,known India/BP vs USAN divergence
5-fluorouracil,fluorouracil,manual,india_naming_seed,False,True,known India/BP vs USAN divergence
6-mercaptopurine,mercaptopurine,manual,india_naming_seed,False,True,known India/BP vs USAN divergence
