raw_string,normalized_string,source,molecule_id
aspirin,aspirin,manual,MOL-00024
paracetamol,paracetamol,manual,MOL-00018
acetyl salicylic acid,acetyl salicylic acid,manual,MOL-00024
salicylic acid acetyl,salicylic acid acetyl,manual,MOL-00024
adrenaline,adrenaline,manual,MOL-00754
noradrenaline,noradrenaline,manual,MOL-01541
cyclosporin,cyclosporin,manual,MOL-00533
frusemide,frusemide,manual,MOL-00919
lignocaine,lignocaine,manual,MOL-01253
rifampin,rifampin,manual,MOL-01867
vitamin b12,vitamin b12,manual,MOL-00523
vitamin b1,vitamin b1,manual,MOL-02110
vitamin b6,vitamin b6,manual,MOL-01815
vitamin d3,vitamin d3,manual,MOL-00422
vitamin b9,vitamin b9,manual,MOL-00893
crocin,crocin,manual,MOL-00018
dolo,dolo,manual,MOL-00018
calpol,calpol,manual,MOL-00018
metacin,metacin,manual,MOL-00018
brufen,brufen,manual,MOL-01054
ibugesic,ibugesic,manual,MOL-01054
voveran,voveran,manual,MOL-00619
volini,volini,manual,MOL-00619
zerodol,zerodol,manual,MOL-00016
nise,nise,manual,MOL-01524
naprosyn,naprosyn,manual,MOL-01488
tramazac,tramazac,manual,MOL-02169
pan,pan,manual,MOL-01628
pantop,pantop,manual,MOL-01628
pantocid,pantocid,manual,MOL-01628
omez,omez,manual,MOL-01576
ocid,ocid,manual,MOL-01576
nexpro,nexpro,manual,MOL-00778
razo,razo,manual,MOL-01827
rantac,rantac,manual,MOL-01839
zinetac,zinetac,manual,MOL-01839
domstal,domstal,manual,MOL-00673
emeset,emeset,manual,MOL-01578
vomikind,vomikind,manual,MOL-01578
cremaffin,cremaffin,manual,MOL-01198
duphalac,duphalac,manual,MOL-01198
glycomet,glycomet,manual,MOL-01368
glyciphage,glyciphage,manual,MOL-01368
obimet,obimet,manual,MOL-01368
carbophage,carbophage,manual,MOL-01368
amaryl,amaryl,manual,MOL-00962
glimestar,glimestar,manual,MOL-00962
zoryl,zoryl,manual,MOL-00962
daonil,daonil,manual,MOL-00972
glibenclamide,glibenclamide,manual,MOL-00972
januvia,januvia,manual,MOL-01979
galvus,galvus,manual,MOL-02274
jardiance,jardiance,manual,MOL-00736
