product_id,molecule_id,strength,unit
PMBJP-1,MOL-00016,100.0,mg
PMBJP-1,MOL-00018,325.0,mg
PMBJP-2,MOL-00016,100.0,mg
PMBJP-3,MOL-01776,75.0,mg
PMBJP-5,MOL-00024,150.0,mg
PMBJP-6,MOL-00421,500.0,mg
PMBJP-6,MOL-00619,50.0,mg
PMBJP-6,MOL-00018,325.0,mg
PMBJP-7,MOL-00619,,
PMBJP-8,MOL-01957,10.0,mg
PMBJP-8,MOL-00619,50.0,mg
PMBJP-9,MOL-00619,100.0,mg
PMBJP-10,MOL-00619,25.0,mg
PMBJP-11,MOL-00619,50.0,mg
PMBJP-12,MOL-00810,120.0,mg
PMBJP-13,MOL-00810,90.0,mg
PMBJP-14,MOL-01054,400.0,mg
PMBJP-14,MOL-00018,325.0,mg
PMBJP-15,MOL-01054,200.0,mg
PMBJP-16,MOL-01054,400.0,mg
PMBJP-17,MOL-01077,25.0,mg
PMBJP-18,MOL-00177,250.0,mg
PMBJP-19,MOL-01524,100.0,mg
PMBJP-19,MOL-00018,325.0,mg
PMBJP-20,MOL-01524,100.0,mg
PMBJP-21,MOL-00619,50.0,mg
PMBJP-21,MOL-00018,325.0,mg
PMBJP-22,MOL-01636,125.0,mg
PMBJP-23,MOL-00018,500.0,mg
PMBJP-24,MOL-01675,30.0,mg
PMBJP-25,MOL-01957,10.0,mg
PMBJP-26,MOL-02169,100.0,mg
PMBJP-27,MOL-02169,50.0,mg
PMBJP-28,MOL-02169,50.0,mg
PMBJP-29,MOL-00031,400.0,mg
PMBJP-30,MOL-00084,100.0,mg
PMBJP-31,MOL-00084,250.0,mg
PMBJP-32,MOL-00084,500.0,mg
PMBJP-34,MOL-01368,500.0,mg
PMBJP-34,MOL-00962,2.0,mg
PMBJP-35,MOL-00102,1.0,g
PMBJP-35,MOL-00455,200.0,mg
PMBJP-36,MOL-00102,200.0,mg
PMBJP-36,MOL-00455,28.5,mg
PMBJP-37,MOL-00102,250.0,mg
PMBJP-37,MOL-00455,50.0,mg
PMBJP-38,MOL-00102,500.0,mg
PMBJP-38,MOL-00455,100.0,mg
PMBJP-39,MOL-00102,500.0,mg
PMBJP-39,MOL-00455,125.0,mg
PMBJP-40,MOL-00102,250.0,mg
PMBJP-40,MOL-00478,250.0,mg
PMBJP-42,MOL-00102,125.0,mg
PMBJP-43,MOL-00102,125.0,mg
PMBJP-44,MOL-00102,250.0,mg
PMBJP-45,MOL-00102,500.0,mg
PMBJP-46,MOL-00105,500.0,mg
PMBJP-47,MOL-00177,100.0,mg
PMBJP-48,MOL-00177,100.0,mg
PMBJP-51,MOL-00357,250.0,mg
PMBJP-52,MOL-00357,500.0,mg
PMBJP-53,MOL-00368,50.0,mg
PMBJP-54,MOL-00368,100.0,mg
PMBJP-55,MOL-00368,200.0,mg
PMBJP-56,MOL-00371,1.0,g
PMBJP-56,MOL-02028,1.0,g
PMBJP-57,MOL-00371,500.0,mg
PMBJP-57,MOL-02028,500.0,mg
PMBJP-58,MOL-00371,1.0,g
PMBJP-59,MOL-00372,1.0,g
PMBJP-59,MOL-02028,500.0,mg
PMBJP-60,MOL-00372,250.0,mg
PMBJP-60,MOL-02028,125.0,mg
PMBJP-61,MOL-00372,500.0,mg
