molecule_id_a,molecule_id_b,severity,mechanism,provenance
MOL-00001,MOL-00024,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_B.csv
MOL-00001,MOL-00031,Unknown,,ddinter_downloads_code_D.csv
MOL-00001,MOL-00102,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-00104,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-00149,Moderate,,ddinter_downloads_code_L.csv
MOL-00001,MOL-00157,Unknown,,ddinter_downloads_code_P.csv
MOL-00001,MOL-00269,Moderate,,ddinter_downloads_code_L.csv
MOL-00001,MOL-00287,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_R.csv
MOL-00001,MOL-00292,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-00302,Moderate,,ddinter_downloads_code_L.csv
MOL-00001,MOL-00385,Unknown,,ddinter_downloads_code_L.csv
MOL-00001,MOL-00394,Unknown,,ddinter_downloads_code_R.csv
MOL-00001,MOL-00453,Moderate,,ddinter_downloads_code_L.csv
MOL-00001,MOL-00506,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-00460,Unknown,,ddinter_downloads_code_D.csv
MOL-00001,MOL-00463,Unknown,,ddinter_downloads_code_D.csv
MOL-00001,MOL-00465,Moderate,,ddinter_downloads_code_L.csv
MOL-00001,MOL-00473,Unknown,,ddinter_downloads_code_B.csv
MOL-00001,MOL-00488,Moderate,,ddinter_downloads_code_V.csv
MOL-00001,MOL-00521,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_R.csv
MOL-00001,MOL-00533,Unknown,,ddinter_downloads_code_L.csv
MOL-00001,MOL-00553,Unknown,,ddinter_downloads_code_D.csv
MOL-00001,MOL-00591,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_H.csv|ddinter_downloads_code_R.csv
MOL-00001,MOL-00619,Unknown,,ddinter_downloads_code_D.csv
MOL-00001,MOL-00663,Minor,,ddinter_downloads_code_P.csv
MOL-00001,MOL-00686,Unknown,,ddinter_downloads_code_D.csv
MOL-00001,MOL-00689,Unknown,,ddinter_downloads_code_L.csv
MOL-00001,MOL-00755,Moderate,,ddinter_downloads_code_L.csv
MOL-00001,MOL-00793,Minor,,ddinter_downloads_code_D.csv|ddinter_downloads_code_V.csv
MOL-00001,MOL-00825,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-00851,Unknown,,ddinter_downloads_code_R.csv
MOL-00001,MOL-00864,Unknown,,ddinter_downloads_code_D.csv
MOL-00001,MOL-00890,Unknown,,ddinter_downloads_code_D.csv|ddinter_downloads_code_R.csv
MOL-00001,MOL-00893,Unknown,,ddinter_downloads_code_B.csv|ddinter_downloads_code_V.csv
MOL-00001,MOL-00932,Unknown,,ddinter_downloads_code_V.csv
MOL-00001,MOL-00947,Unknown,,ddinter_downloads_code_D.csv
MOL-00001,MOL-00962,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-00964,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-00972,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01007,Unknown,,ddinter_downloads_code_B.csv
MOL-00001,MOL-01036,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_H.csv|ddinter_downloads_code_R.csv
MOL-00001,MOL-01046,Unknown,,ddinter_downloads_code_L.csv
MOL-00001,MOL-01054,Unknown,,ddinter_downloads_code_R.csv
MOL-00001,MOL-01059,Moderate,,ddinter_downloads_code_L.csv
MOL-00001,MOL-01070,Unknown,,ddinter_downloads_code_D.csv
MOL-00001,MOL-01180,Unknown,,ddinter_downloads_code_R.csv
MOL-00001,MOL-01198,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01203,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01213,Major,,ddinter_downloads_code_L.csv
MOL-00001,MOL-01221,Unknown,,ddinter_downloads_code_V.csv
MOL-00001,MOL-01251,Unknown,,ddinter_downloads_code_H.csv
MOL-00001,MOL-01280,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01283,Unknown,,ddinter_downloads_code_R.csv
MOL-00001,MOL-01368,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01379,Moderate,,ddinter_downloads_code_L.csv
MOL-00001,MOL-01404,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01410,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_P.csv
MOL-00001,MOL-01439,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01453,Unknown,,ddinter_downloads_code_R.csv
MOL-00001,MOL-01456,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01485,Moderate,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01551,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv
MOL-00001,MOL-01576,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01578,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01585,Moderate,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01597,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01628,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01653,Moderate,,ddinter_downloads_code_L.csv
MOL-00001,MOL-01724,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01773,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_H.csv|ddinter_downloads_code_R.csv|ddinter_downloads_code_V.csv
MOL-00001,MOL-01775,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_H.csv
MOL-00001,MOL-01793,Unknown,,ddinter_downloads_code_D.csv|ddinter_downloads_code_R.csv|ddinter_downloads_code_V.csv
MOL-00001,MOL-01816,Unknown,,ddinter_downloads_code_P.csv
MOL-00001,MOL-01827,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01839,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01902,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01903,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-01923,Unknown,,ddinter_downloads_code_R.csv
MOL-00001,MOL-01961,Unknown,,ddinter_downloads_code_V.csv
MOL-00001,MOL-02025,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-02034,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-02046,Unknown,,ddinter_downloads_code_D.csv|ddinter_downloads_code_L.csv
MOL-00001,MOL-02089,Major,,ddinter_downloads_code_L.csv
MOL-00001,MOL-02137,Moderate,,ddinter_downloads_code_L.csv
MOL-00001,MOL-02167,Moderate,,ddinter_downloads_code_L.csv
MOL-00001,MOL-02241,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-02254,Unknown,,ddinter_downloads_code_A.csv
MOL-00001,MOL-02281,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_R.csv|ddinter_downloads_code_V.csv
MOL-00001,MOL-02304,Unknown,,ddinter_downloads_code_B.csv
MOL-00004,MOL-00054,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00093,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00094,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00095,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00101,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00109,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00466,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00470,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00479,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00520,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00561,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00562,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00581,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00589,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00603,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00662,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00670,Major,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00671,Major,,ddinter_downloads_code_A.csv|ddinter_downloads_code_L.csv
MOL-00004,MOL-00674,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00686,Moderate,,ddinter_downloads_code_D.csv|ddinter_downloads_code_L.csv
MOL-00004,MOL-00689,Moderate,,ddinter_downloads_code_L.csv
MOL-00004,MOL-00696,Major,,ddinter_downloads_code_L.csv
