drugbank_id_a,drugbank_id_b,ddinter_id_a,ddinter_id_b,drug_a,drug_b,severity,mechanism,source_file,n_source_files,severity_conflict_across_files
,,DDInter1,DDInter20,Abacavir,Acetylsalicylic acid,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_B.csv,2,false
,,DDInter1,DDInter25,Abacavir,Acyclovir,Unknown,,ddinter_downloads_code_D.csv,1,false
,,DDInter1,DDInter83,Abacavir,Amoxicillin,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter85,Abacavir,Amphotericin B,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter127,Abacavir,Asparaginase Escherichia coli,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter134,Abacavir,Atovaquone,Unknown,,ddinter_downloads_code_P.csv,1,false
,,DDInter1,DDInter228,Abacavir,Brentuximab vedotin,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter246,Abacavir,Budesonide,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_R.csv,3,false
,,DDInter1,DDInter252,Abacavir,Bupropion,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter262,Abacavir,Cabozantinib,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter336,Abacavir,Celecoxib,Unknown,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter343,Abacavir,Cetirizine,Unknown,,ddinter_downloads_code_R.csv,1,false
,,DDInter1,DDInter392,Abacavir,Cladribine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter393,Abacavir,Clarithromycin,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter398,Abacavir,Clindamycin,Unknown,,ddinter_downloads_code_D.csv,1,false
,,DDInter1,DDInter402,Abacavir,Clobetasol,Unknown,,ddinter_downloads_code_D.csv,1,false
,,DDInter1,DDInter405,Abacavir,Clofarabine,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter413,Abacavir,Clopidogrel,Unknown,,ddinter_downloads_code_B.csv,1,false
,,DDInter1,DDInter424,Abacavir,Cobicistat,Moderate,,ddinter_downloads_code_V.csv,1,false
,,DDInter1,DDInter449,Abacavir,Cromoglicic acid,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_R.csv,3,false
,,DDInter1,DDInter458,Abacavir,Cyclosporine,Unknown,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter475,Abacavir,Dapsone,Unknown,,ddinter_downloads_code_D.csv,1,false
,,DDInter1,DDInter513,Abacavir,Dexamethasone,Unknown,,ddinter_downloads_code_A.csv|ddinter_downloads_code_D.csv|ddinter_downloads_code_H.csv|ddinter_downloads_code_R.csv,4,false
,,DDInter1,DDInter537,Abacavir,Diclofenac,Unknown,,ddinter_downloads_code_D.csv,1,false
,,DDInter1,DDInter576,Abacavir,Disulfiram,Minor,,ddinter_downloads_code_P.csv,1,false
,,DDInter1,DDInter593,Abacavir,Doxepin,Unknown,,ddinter_downloads_code_D.csv,1,false
,,DDInter1,DDInter596,Abacavir,Doxorubicin,Unknown,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter655,Abacavir,Epirubicin,Moderate,,ddinter_downloads_code_L.csv,1,false
,,DDInter1,DDInter690,Abacavir,Ethanol,Minor,,ddinter_downloads_code_D.csv|ddinter_downloads_code_V.csv,2,false
,,DDInter1,DDInter712,Abacavir,Famotidine,Unknown,,ddinter_downloads_code_A.csv,1,false
,,DDInter1,DDInter732,Abacavir,Fexofenadine,Unknown,,ddinter_downloads_code_R.csv,1,false
,,DDInter1,DDInter743,Abacavir,Fluconazole,Unknown,,ddinter_downloads_code_D.csv,1,false
,,DDInter1,DDInter766,Abacavir,Fluticasone,Unknown,,ddinter_downloads_code_D.csv|ddinter_downloads_code_R.csv,2,false
,,DDInter1,DDInter771,Abacavir,Folic acid,Unknown,,ddinter_downloads_code_B.csv|ddinter_downloads_code_V.csv,2,false
,,DDInter1,DDInter801,Abacavir,Galactose,Unknown,,ddinter_downloads_code_V.csv,1,false
,,DDInter1,DDInter815,Abacavir,Gentamicin,Unknown,,ddinter_downloads_code_D.csv,1,false
