molecule_id,inn_name,category,in_pmbjp,in_ddinter,in_nppa,sources,pmbjp_product_count
MOL-00001,abacavir,small_molecule,true,true,true,pmbjp|ddinter|nppa,2
MOL-00002,abaloparatide,small_molecule,false,true,false,ddinter,0
MOL-00003,abametapir,small_molecule,false,true,false,ddinter,0
MOL-00004,abarelix,small_molecule,false,true,false,ddinter,0
MOL-00005,abatacept,small_molecule,false,true,false,ddinter,0
MOL-00006,abciximab,biologic,false,true,false,ddinter,0
MOL-00007,abemaciclib,small_molecule,false,true,false,ddinter,0
MOL-00008,abiraterone,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00009,absolute alcohol,small_molecule,true,false,false,pmbjp,2
MOL-00010,absorbent gelatin sponge,small_molecule,true,false,false,pmbjp,1
MOL-00011,acalabrutinib,small_molecule,false,true,false,ddinter,0
MOL-00012,acamprosate,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00013,acarbose,small_molecule,true,true,false,pmbjp|ddinter,3
MOL-00014,acebrophylline,small_molecule,true,false,false,pmbjp,5
MOL-00015,acebutolol,small_molecule,false,true,false,ddinter,0
MOL-00016,aceclofenac,small_molecule,true,false,false,pmbjp,15
MOL-00017,acenocoumarol,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00018,acetaminophen,small_molecule,true,true,true,pmbjp|ddinter|nppa,41
MOL-00019,acetazolamide,small_molecule,true,true,true,pmbjp|ddinter|nppa,1
MOL-00020,acetohexamide,small_molecule,false,true,false,ddinter,0
MOL-00021,acetohydroxamic acid,small_molecule,false,true,false,ddinter,0
MOL-00022,acetylcholine,small_molecule,false,true,false,ddinter,0
MOL-00023,acetylcysteine,small_molecule,true,true,true,pmbjp|ddinter|nppa,7
MOL-00024,acetylsalicylic acid,small_molecule,true,true,true,pmbjp|ddinter|nppa,17
MOL-00025,acitretin,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00026,aclidinium,small_molecule,false,true,false,ddinter,0
MOL-00027,acotiamide,small_molecule,true,false,false,pmbjp,1
MOL-00028,acrivastine,small_molecule,false,true,false,ddinter,0
MOL-00029,activated charcoal,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00030,activated dimethicone,small_molecule,true,false,false,pmbjp,4
MOL-00031,acyclovir,small_molecule,true,true,true,pmbjp|ddinter|nppa,5
MOL-00032,adalimumab,biologic,true,true,false,pmbjp|ddinter,1
MOL-00033,adapalene,small_molecule,true,true,false,pmbjp|ddinter,3
MOL-00034,adefovir dipivoxil,small_molecule,false,true,false,ddinter,0
MOL-00035,adenosine,small_molecule,true,true,true,pmbjp|ddinter|nppa,2
MOL-00036,afatinib,small_molecule,false,true,false,ddinter,0
MOL-00037,aflibercept,small_molecule,false,true,false,ddinter,0
MOL-00038,aflibercept intravitreal,small_molecule,true,false,false,pmbjp,1
MOL-00039,agalsidase beta,small_molecule,false,true,false,ddinter,0
MOL-00040,agomelatine,small_molecule,true,false,false,pmbjp,1
MOL-00041,albendazole,small_molecule,true,true,true,pmbjp|ddinter|nppa,4
MOL-00042,albiglutide,small_molecule,false,true,false,ddinter,0
MOL-00043,albuterol,small_molecule,true,false,false,pmbjp,7
MOL-00044,alclometasone,small_molecule,false,true,false,ddinter,0
MOL-00045,alcohol swab,small_molecule,true,false,false,pmbjp,1
MOL-00046,aldesleukin,small_molecule,false,true,false,ddinter,0
MOL-00047,alectinib,small_molecule,false,true,false,ddinter,0
MOL-00048,alefacept,small_molecule,false,true,false,ddinter,0
MOL-00049,alemtuzumab,biologic,false,true,false,ddinter,0
MOL-00050,alendronate,small_molecule,true,false,false,pmbjp,1
MOL-00051,alendronic acid,small_molecule,false,true,false,ddinter,0
MOL-00052,alfacalcidol,small_molecule,true,false,false,pmbjp,1
MOL-00053,alfentanil,small_molecule,false,true,false,ddinter,0
MOL-00054,alfuzosin,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00055,alimemazine,small_molecule,false,true,false,ddinter,0
MOL-00056,aliskiren,small_molecule,false,true,false,ddinter,0
MOL-00057,alitretinoin,small_molecule,false,true,false,ddinter,0
MOL-00058,allantoin,small_molecule,true,false,false,pmbjp,2
MOL-00059,allopurinol,small_molecule,true,true,true,pmbjp|ddinter|nppa,2
MOL-00060,allylestrenol,small_molecule,true,false,false,pmbjp,1
MOL-00061,almotriptan,small_molecule,false,true,false,ddinter,0
MOL-00062,aloe vera,herbal,true,false,false,pmbjp,3
MOL-00063,aloe vera leaf,herbal,false,true,false,ddinter,0
MOL-00064,alogliptin,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00065,alosetron,small_molecule,false,true,false,ddinter,0
MOL-00066,alpelisib,small_molecule,false,true,false,ddinter,0
MOL-00067,alpha ketoanalouge,small_molecule,true,false,false,pmbjp,1
MOL-00068,alpha lipoic acid,small_molecule,true,false,false,pmbjp,3
MOL-00069,alpha lipolic acid,small_molecule,true,false,false,pmbjp,1
MOL-00070,alpha-amylase,small_molecule,true,false,false,pmbjp,1
MOL-00071,alprazolam,small_molecule,true,true,false,pmbjp|ddinter,7
MOL-00072,alprostadil,small_molecule,false,true,true,ddinter|nppa,0
MOL-00073,alteplase,small_molecule,false,true,true,ddinter|nppa,0
MOL-00074,altretamine,small_molecule,false,true,false,ddinter,0
MOL-00075,aluminum hydroxide,small_molecule,false,true,false,ddinter,0
MOL-00076,alvimopan,small_molecule,false,true,false,ddinter,0
MOL-00077,amantadine,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00078,ambenonium,small_molecule,false,true,false,ddinter,0
MOL-00079,ambrisentan,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00080,ambroxol,small_molecule,true,false,false,pmbjp,5
MOL-00081,amcinonide,small_molecule,false,true,false,ddinter,0
MOL-00082,amifampridine,small_molecule,false,true,false,ddinter,0
MOL-00083,amifostine,small_molecule,false,true,false,ddinter,0
MOL-00084,amikacin,small_molecule,true,true,false,pmbjp|ddinter,3
MOL-00085,amiloride,small_molecule,true,true,false,pmbjp|ddinter,3
MOL-00086,amino acid iv,small_molecule,true,false,false,pmbjp,1
MOL-00087,aminobenzoic acid,small_molecule,false,true,false,ddinter,0
MOL-00088,aminocaproic acid,small_molecule,false,true,false,ddinter,0
MOL-00089,aminoglutethimide,small_molecule,false,true,false,ddinter,0
MOL-00090,aminolevulinic acid,small_molecule,false,true,false,ddinter,0
MOL-00091,aminophylline,small_molecule,false,true,false,ddinter,0
